rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,12156928,7.656514922777812,5.744607744,0.7934712767601013,2.211058315639306
16,32,24313856,8.439895164966583,5.073859072,0.8178711533546448,2.2656714328600627
64,128,97255424,8.264329016208649,7.414757888,0.9085691571235657,2.480770400063514
